PWeight,Age,PA_Inc,SS_Inc,Hours_Worked,Fam_Size,Children,PUMA,FoodSnap,Tenure,Grandparents,MLTG_HH,Citizenship?,COW,Speaks_English,Other_Lang_Home,Marital_Status,#_of_marriages,Military,Education,Sex,Disability,Parent_Employment,Employment,Health_Cov,Hispanic,IND,Private_HI,Public_HI,Race,Place_of_Birth,Income
84,20,0,0,25,1,b,00905,2,b,b,b,1,1,1,1,5,b,4,19,2,2,b,1,1,01,14,1,2,1,1,5149.639999999999
14,89,0,8857.380799999999,0,1,b,00904,2,b,b,b,1,b,b,2,5,b,4,21,1,1,b,6,1,01,2,2,1,1,1,8857.380799999999
9,22,0,0,28,1,b,00101,2,b,b,b,1,1,b,2,5,b,4,19,1,2,b,6,1,01,16,1,2,1,1,4634.6759999999995
80,48,0,0,0,1,b,00900,2,b,b,b,1,1,b,2,5,b,4,18,1,1,b,6,2,01,12,2,2,2,1,0
3,46,7415.4816,0,0,1,b,00500,2,b,b,b,1,b,b,2,5,b,4,01,1,1,b,6,1,01,2,2,1,1,1,17199.797599999998
20,56,0,0,40,1,b,00903,2,b,b,b,1,1,b,2,3,1,2,21,1,1,b,6,1,01,6,1,1,1,1,100726.95839999999
46,19,0,0,5,1,b,00303,2,b,b,b,1,1,b,2,5,b,4,19,2,2,b,6,1,01,9,1,2,2,1,514.9639999999999
35,18,0,0,0,1,b,00700,2,b,b,b,4,1,b,2,5,b,4,16,2,2,b,6,1,01,6,1,2,6,4,0
138,45,205.98559999999998,0,0,1,b,00104,1,b,b,b,1,b,b,2,5,b,4,16,1,2,b,6,1,01,2,2,1,2,1,205.98559999999998
31,82,0,20392.574399999998,0,1,b,00305,2,b,b,b,4,1,1,1,2,1,4,21,2,1,b,6,1,01,14,2,1,1,5,20392.574399999998
58,19,0,0,18,1,b,00101,2,b,b,b,1,3,b,2,5,b,4,19,1,2,b,1,1,01,11,1,1,2,1,823.9423999999999
