PWeight,Age,PA_Inc,SS_Inc,Hours_Worked,Fam_Size,Children,PUMA,FoodSnap,Tenure,Grandparents,MLTG_HH,Citizenship?,COW,Speaks_English,Other_Lang_Home,Marital_Status,#_of_marriages,Military,Education,Sex,Disability,Parent_Employment,Employment,Health_Cov,Hispanic,IND,Private_HI,Public_HI,Race,Place_of_Birth,Income
11,87,0,14041.015500000001,0,1,b,00900,2,b,b,b,1,b,b,2,2,1,4,18,2,1,b,6,1,01,2,2,1,1,1,14041.015500000001
79,21,0,0,10,1,b,00903,2,b,b,b,1,2,b,2,5,b,4,19,2,2,b,1,1,01,13,1,2,1,1,1010.1450000000001
107,20,0,0,50,1,b,00700,2,b,b,b,1,6,b,2,5,b,4,19,1,2,b,6,1,01,6,1,2,1,1,4545.6525
65,21,0,0,11,1,b,01500,2,b,b,b,1,4,b,2,5,b,4,19,1,2,b,1,1,01,13,1,2,2,1,14142.03
27,84,0,13940.001,0,1,b,01101,2,b,b,b,1,b,b,2,2,1,4,19,1,1,b,6,1,01,2,1,1,1,1,13940.001
104,21,0,0,35,1,b,00905,2,b,b,b,1,1,b,2,5,b,4,19,2,2,b,6,1,01,16,1,2,1,1,4040.5800000000004
77,53,0,0,20,1,b,01300,2,b,b,b,1,4,b,2,5,b,4,16,1,2,b,6,1,01,18,2,1,2,1,12121.740000000002
18,19,0,0,0,1,b,01500,2,b,b,b,1,b,b,2,5,b,4,14,1,2,b,6,1,01,2,2,1,2,1,0
59,18,0,0,12,1,b,01300,2,b,b,b,1,1,b,2,5,b,4,19,2,2,b,6,1,01,16,1,2,1,1,3030.4350000000004
85,20,0,0,0,1,b,00302,2,b,b,b,1,b,b,2,5,b,4,19,2,2,b,6,1,01,2,1,2,1,1,0
39,57,0,7677.102000000001,0,1,b,01500,2,b,b,b,1,b,b,2,1,1,4,19,1,1,b,6,1,01,2,2,1,1,1,11212.6095
7,18,0,0,0,1,b,01100,2,b,b,b,1,b,b,2,5,b,4,18,2,2,b,6,1,01,2,2,1,1,1,0
132,21,0,0,20,1,b,01300,1,b,b,b,1,1,b,2,5,b,4,18,2,2,b,3,1,01,8,1,2,1,1,1515.2175000000002
