PWeight,Age,PA_Inc,SS_Inc,Hours_Worked,Fam_Size,Children,PUMA,FoodSnap,Tenure,Grandparents,MLTG_HH,Citizenship?,COW,Speaks_English,Other_Lang_Home,Marital_Status,#_of_marriages,Military,Education,Sex,Disability,Parent_Employment,Employment,Health_Cov,Hispanic,IND,Private_HI,Public_HI,Race,Place_of_Birth,Income
22,21,0,0,0,1,b,00302,2,b,b,b,1,b,b,2,5,b,4,19,2,2,b,6,1,01,2,1,2,1,1,0
106,61,0,13170.260999999999,0,1,b,00300,2,b,b,b,1,b,b,2,3,1,4,16,2,1,b,6,1,01,2,2,1,1,1,13170.260999999999
12,90,0,9624.421499999999,0,1,b,00303,2,b,b,b,1,b,1,1,2,1,4,13,2,1,b,6,1,03,2,2,1,8,1,9624.421499999999
92,18,0,0,8,1,b,01300,2,b,b,b,1,4,b,2,5,b,4,19,2,2,b,1,1,03,16,1,2,9,1,3545.8394999999996
2,64,0,0,0,1,b,00104,2,b,b,b,1,b,b,2,3,1,2,16,1,1,b,6,1,01,2,2,1,1,1,0
31,27,0,0,20,1,b,00904,2,b,b,b,5,1,1,1,5,b,4,22,2,2,b,1,1,01,13,1,2,1,5,5572.0335
96,54,0,14588.5968,0,1,b,00500,2,b,b,b,1,b,b,2,5,b,4,01,1,1,b,6,1,03,2,2,1,1,1,14588.5968
74,22,0,0,0,1,b,00300,2,b,b,b,1,b,b,2,5,b,4,14,1,2,b,6,1,01,2,2,1,2,1,0
72,39,0,0,0,1,b,01101,2,b,b,b,5,1,1,1,3,1,4,18,2,2,b,6,1,21,9,2,1,8,3,395.10783
31,84,0,4356.317099999999,0,1,b,00700,2,b,b,b,1,b,b,2,5,b,4,16,2,1,b,6,1,01,2,2,1,2,1,4356.317099999999
36,19,0,0,0,1,b,00903,2,b,b,b,1,b,1,1,5,b,4,16,2,2,b,6,1,01,2,1,2,9,1,0
43,23,0,0,75,1,b,00900,2,b,b,b,1,6,b,2,5,b,4,18,1,2,b,6,2,01,8,2,2,2,1,6585.130499999999
36,78,19248.842999999997,38193.7569,0,1,b,00105,2,b,b,b,1,b,b,2,5,b,4,01,1,1,b,6,1,01,2,2,1,1,1,57442.599899999994
16,78,19248.842999999997,38193.7569,0,1,b,01300,2,b,b,b,1,b,b,2,5,b,4,01,1,1,b,6,1,01,2,2,1,1,1,57442.599899999994
120,74,0,15804.313199999999,0,1,b,00901,2,b,b,b,4,b,2,1,3,1,4,12,2,1,b,6,1,05,2,1,1,8,3,15804.313199999999
25,88,0,2330.1231,0,1,b,00301,2,b,b,b,1,b,b,2,1,1,2,16,1,1,b,6,1,01,2,2,1,1,1,38497.685999999994
58,18,0,0,27,1,b,00905,2,b,b,b,1,1,b,2,5,b,4,16,1,1,b,6,1,01,16,1,2,1,1,8104.775999999999
27,91,0,7294.2984,0,1,b,00303,2,b,b,b,1,b,b,2,2,1,4,01,1,1,b,6,1,01,2,1,1,1,1,7294.2984
28,89,0,1722.2649,0,1,b,01300,2,b,b,b,1,b,b,2,2,1,4,16,2,1,b,6,1,01,2,2,1,1,1,1722.2649
24,71,0,12359.783399999998,0,1,b,00306,2,b,b,b,1,b,b,2,5,b,2,16,1,1,b,6,1,01,2,2,1,1,1,12359.783399999998
24,20,0,0,24,1,b,00904,2,b,b,b,1,1,b,2,5,b,4,19,1,2,b,2,2,01,16,2,2,6,1,2532.7425
109,24,0,0,50,1,b,01101,2,b,b,b,1,5,b,2,5,b,1,19,1,2,b,4,1,01,19,1,2,1,1,8104.775999999999
48,24,0,0,50,1,b,01101,2,b,b,b,1,5,b,2,5,b,1,19,1,2,b,4,1,01,19,1,2,1,1,8104.775999999999
10,21,0,0,0,1,b,00900,2,b,b,b,1,b,b,2,5,b,4,13,1,2,b,6,1,01,2,2,1,2,1,0
137,71,0,13879.428899999999,0,1,b,00306,2,b,b,b,1,b,b,2,2,1,4,16,2,1,b,6,1,01,2,1,1,1,1,18843.604199999998
77,86,0,23098.611599999997,0,1,b,00302,2,b,b,b,1,b,1,1,2,1,4,16,2,1,b,6,1,01,2,2,1,1,1,23098.611599999997
11,21,0,0,0,1,b,00302,2,b,b,b,1,b,b,2,5,b,4,19,1,2,b,6,1,01,2,1,2,1,1,0
61,18,0,0,0,1,b,00905,2,b,b,b,1,1,b,2,5,b,4,19,1,2,b,6,1,04,13,1,2,2,1,0
18,33,0,0,40,1,b,00305,2,b,b,b,1,4,b,2,1,1,4,16,2,2,b,1,1,01,18,2,1,1,1,21376.3467
68,27,0,0,40,1,b,00905,2,b,b,b,1,1,1,1,5,b,4,13,1,2,b,6,1,03,2,2,1,2,1,10130.97
39,17,0,0,0,1,b,01300,2,b,b,b,1,b,b,2,5,b,4,16,1,2,b,6,1,01,2,1,2,1,1,0
15,90,0,8104.775999999999,0,1,b,00303,2,b,b,b,1,b,b,2,5,b,4,16,2,1,b,6,1,01,2,2,1,1,1,8104.775999999999
107,20,0,0,42,1,b,00903,2,b,b,b,1,1,b,2,5,b,4,19,1,1,b,6,1,24,16,1,2,9,1,415.36976999999996
3,60,0,0,0,1,b,01100,2,b,b,b,1,5,b,2,5,b,2,16,1,2,b,6,1,01,18,2,1,1,1,0
18,92,0,10232.2797,0,1,b,00303,2,b,b,b,1,b,b,2,2,1,4,16,2,1,b,6,1,01,2,2,1,1,1,10232.2797
24,72,0,19046.223599999998,0,1,b,00303,2,b,b,b,1,b,b,2,5,b,4,16,2,1,b,6,1,01,2,2,1,1,1,19046.223599999998
28,18,0,0,0,1,b,01300,2,b,b,b,1,b,b,2,5,b,4,19,2,2,b,6,1,01,2,1,2,2,1,0
86,32,0,0,50,1,b,01100,2,b,b,b,1,1,b,2,1,1,4,16,1,2,b,6,1,01,6,2,1,1,1,35458.395
33,83,0,0,0,1,b,00300,2,b,b,b,1,b,b,2,1,1,4,21,2,1,b,6,1,01,2,1,1,1,1,27353.619
